IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.163.95,2082,2082,false,SIN,Asia Pacific,Singapore,12,12.96
47.74.13.200,2095,2095,false,NRT,Asia Pacific,Tokyo,73,12.95
8.222.219.34,2052,2052,false,SIN,Asia Pacific,Singapore,7,12.95
8.219.242.208,2082,2082,false,SIN,Asia Pacific,Singapore,24,12.95
47.245.54.197,2052,2052,false,NRT,Asia Pacific,Tokyo,78,12.94
47.245.52.165,8443,8443,true,NRT,Asia Pacific,Tokyo,128,12.94
8.219.177.205,8443,8443,true,SIN,Asia Pacific,Singapore,43,12.94
8.219.201.245,2053,2053,true,SIN,Asia Pacific,Singapore,141,12.94
8.219.0.162,8080,8080,false,SIN,Asia Pacific,Singapore,5,12.94
8.219.56.205,2096,2096,true,SIN,Asia Pacific,Singapore,93,12.94
8.219.253.18,2096,2096,true,SIN,Asia Pacific,Singapore,206,12.94
8.219.196.117,2052,2052,false,SIN,Asia Pacific,Singapore,449,12.93
8.222.224.163,8880,8880,false,SIN,Asia Pacific,Singapore,26,12.93
8.222.248.188,8880,8880,false,SIN,Asia Pacific,Singapore,5,12.93
47.245.115.6,8443,8443,true,SIN,Asia Pacific,Singapore,113,12.92
8.219.183.31,2087,2087,true,SIN,Asia Pacific,Singapore,129,12.92
8.219.60.130,2082,2082,false,SIN,Asia Pacific,Singapore,7,12.92
8.222.147.203,2086,2086,false,SIN,Asia Pacific,Singapore,15,12.92
47.245.118.197,8443,8443,true,SIN,Asia Pacific,Singapore,4,12.92
47.74.11.9,2052,2052,false,NRT,Asia Pacific,Tokyo,99,12.91
47.74.26.132,80,80,false,NRT,Asia Pacific,Tokyo,80,12.91
8.217.250.5,80,80,false,HKG,Asia Pacific,Hong Kong,37,12.91
8.222.198.105,8880,8880,false,SIN,Asia Pacific,Singapore,4,12.90
47.245.8.68,2053,2053,true,NRT,Asia Pacific,Tokyo,153,12.90
47.74.16.231,80,80,false,NRT,Asia Pacific,Tokyo,79,12.90
8.219.184.92,8443,8443,true,SIN,Asia Pacific,Singapore,150,12.90
47.245.86.18,2087,2087,true,SIN,Asia Pacific,Singapore,93,12.90
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,3,12.90
8.222.224.17,2052,2052,false,SIN,Asia Pacific,Singapore,5,12.90
47.236.166.131,2083,2083,true,SIN,Asia Pacific,Singapore,184,12.89
8.219.93.85,2087,2087,true,SIN,Asia Pacific,Singapore,130,12.89
47.236.150.109,2087,2087,true,SIN,Asia Pacific,Singapore,187,12.89
8.219.122.55,2083,2083,true,SIN,Asia Pacific,Singapore,127,12.89
8.219.210.64,2082,2082,false,SIN,Asia Pacific,Singapore,3,12.89
